run_name,lr,entropy_coef,kl_coef,group_size,avg_train_reward_last5,max_train_reward,final_eval_reward
HalfCheetah-v4_grpo_hpo66_lr5e-05_ent0p001_kl_0p001_gro64_normal,5e-05,0.001,,64,-362.00442639822023,-362.00442639822023,-155.63
HalfCheetah-v4_grpo_hpo68_lr5e-05_ent0p001_kl_0p0001_gro64_normal,5e-05,0.001,,64,-362.00442639822023,-362.00442639822023,-155.65
HalfCheetah-v4_grpo_hpo76_lr5e-05_ent0p0001_kl_0p0001_gro64_normal,5e-05,0.0001,,64,-362.00442639822023,-362.00442639822023,-155.82
HalfCheetah-v4_grpo_hpo70_lr5e-05_ent0p001_kl_5e-05_gro64_normal,5e-05,0.001,,64,-362.00442639822023,-362.00442639822023,-156.05
HalfCheetah-v4_grpo_hpo11_lr0p0003_ent0p0001_kl_0p0001_gro32_normal,0.0003,0.0001,,32,-365.3429413965684,-365.3429413965684,-170.1
HalfCheetah-v4_grpo_hpo9_lr0p0003_ent0p0001_kl_0p001_gro32_normal,0.0003,0.0001,,32,-365.3429413965684,-365.3429413965684,-170.4
HalfCheetah-v4_grpo_hpo5_lr0p0003_ent0p001_kl_5e-05_gro32_normal,0.0003,0.001,,32,-365.3429413965684,-365.3429413965684,-170.73
HalfCheetah-v4_grpo_hpo25_lr0p0003_ent0p0_kl_0p001_gro32_normal,0.0003,0.0,,32,-365.3429413965684,-365.3429413965684,-172.06
HalfCheetah-v4_grpo_hpo21_lr0p0003_ent1e-05_kl_5e-05_gro32_normal,0.0003,1e-05,,32,-365.3429413965684,-365.3429413965684,-174.25
HalfCheetah-v4_grpo_hpo29_lr0p0003_ent0p0_kl_5e-05_gro32_normal,0.0003,0.0,,32,-365.3429413965684,-365.3429413965684,-174.57
HalfCheetah-v4_grpo_hpo31_lr0p0003_ent0p0_kl_0p0_gro32_normal,0.0003,0.0,,32,-365.3429413965684,-365.3429413965684,-175.17
HalfCheetah-v4_grpo_hpo19_lr0p0003_ent1e-05_kl_0p0001_gro32_normal,0.0003,1e-05,,32,-365.3429413965684,-365.3429413965684,-176.29
HalfCheetah-v4_grpo_hpo15_lr0p0003_ent0p0001_kl_0p0_gro32_normal,0.0003,0.0001,,32,-365.3429413965684,-365.3429413965684,-176.77
HalfCheetah-v4_grpo_hpo13_lr0p0003_ent0p0001_kl_5e-05_gro32_normal,0.0003,0.0001,,32,-365.3429413965684,-365.3429413965684,-177.11
HalfCheetah-v4_grpo_hpo17_lr0p0003_ent1e-05_kl_0p001_gro32_normal,0.0003,1e-05,,32,-365.3429413965684,-365.3429413965684,-177.14
HalfCheetah-v4_grpo_hpo23_lr0p0003_ent1e-05_kl_0p0_gro32_normal,0.0003,1e-05,,32,-365.3429413965684,-365.3429413965684,-178.17
HalfCheetah-v4_grpo_hpo27_lr0p0003_ent0p0_kl_0p0001_gro32_normal,0.0003,0.0,,32,-365.3429413965684,-365.3429413965684,-181.92
HalfCheetah-v4_grpo_hpo3_lr0p0003_ent0p001_kl_0p0001_gro32_normal,0.0003,0.001,,32,-365.3429413965684,-365.3429413965684,-181.98
HalfCheetah-v4_grpo_hpo1_lr0p0003_ent0p001_kl_0p001_gro32_normal,0.0003,0.001,,32,-365.3429413965684,-365.3429413965684,-182.38
HalfCheetah-v4_grpo_hpo7_lr0p0003_ent0p001_kl_0p0_gro32_normal,0.0003,0.001,,32,-365.3429413965684,-365.3429413965684,-183.97
